2	26.830
-1.721	-0.008	26.841
-1.811	-1.126	26.843
-1.610	-0.048	26.839
-1.115	-1.200	26.829
-1.620	-0.050	26.839
-1.206	-1.215	26.830
-1.813	-0.094	26.844
-0.860	-0.983	26.827
-1.682	0.024	26.840
-0.949	-1.039	26.827
-1.771	-0.031	26.842
-0.734	0.268	26.847
-1.682	-0.189	26.845
-1.391	-1.363	26.837
-1.777	-0.194	26.848
-1.250	0.706	26.852
-1.701	-0.245	26.849
-1.567	-1.411	26.845
-1.647	-0.253	26.847
-1.361	0.789	26.850
-1.835	-0.145	26.845
-0.770	0.089	26.844
-1.621	-0.500	26.850
-2.088	0.658	26.848
-1.509	-0.471	26.850
-1.888	0.699	26.849
-1.605	-0.477	26.850
-1.890	0.699	26.849
-1.539	-0.472	26.850
-1.875	0.700	26.849
-1.613	-0.475	26.850
-2.051	0.686	26.848
-1.551	-0.465	26.850
-2.108	0.672	26.848
-1.491	-0.444	26.851
-1.838	0.729	26.849
-1.560	-0.447	26.850
-2.003	0.715	26.848
-1.558	-0.446	26.850
-1.601	0.706	26.850
-1.661	-0.423	26.850
-1.292	0.575	26.851
-1.702	-0.401	26.849
-1.663	0.732	26.850
-1.644	-0.416	26.850
-1.788	0.751	26.849
-1.577	-0.423	26.850
-1.633	0.730	26.850
-1.709	-0.392	26.849
-1.431	0.652	26.851
-1.678	-0.406	26.850
-1.092	0.448	26.850
-1.801	-0.298	26.848
-0.876	0.190	26.847
-1.860	-0.203	26.847
-0.778	-0.011	26.843
-1.825	-0.284	26.848
-0.682	-0.289	26.837
-1.850	-0.143	26.845
-0.753	0.006	26.843
-1.831	-0.200	26.846
-0.866	0.228	26.847
-1.713	-0.368	26.849
-1.099	0.463	26.850
-1.794	-0.297	26.848
-1.298	0.622	26.851
-1.791	-0.299	26.848
-0.971	0.328	26.848
-1.791	-0.299	26.848
-0.669	-0.219	26.838
-1.824	-0.164	26.846
-0.939	0.380	26.849
-1.744	-0.267	26.847
-1.149	0.582	26.851
-1.667	-0.324	26.848
-1.149	0.582	26.851
-1.746	-0.264	26.847
-1.137	0.573	26.851
-1.708	-0.293	26.848
-0.733	0.116	26.845
-1.754	-0.213	26.847
-0.843	0.295	26.848
-1.791	-0.161	26.846
-0.634	-0.232	26.838
-1.778	-0.227	26.847
-0.634	-0.236	26.838
-1.803	-0.093	26.844
-0.635	-0.239	26.838
-1.802	-0.101	26.845
-0.691	-0.735	26.829
-1.774	-0.038	26.843
-1.220	-1.176	26.832
-1.684	-0.017	26.841
-1.135	-1.156	26.830
-1.752	-0.038	26.843
-0.945	-1.056	26.828
-1.735	-0.025	26.842
-0.938	-1.051	26.827
-1.737	-0.025	26.842
-0.574	-0.457	26.833
-1.744	-0.079	26.843
-0.714	-0.867	26.827
-1.786	-0.148	26.845
-0.615	-0.317	26.836
-1.786	-0.147	26.845
-0.715	-0.868	26.827
-1.699	-0.015	26.841
-1.017	-1.106	26.828
-1.719	-0.024	26.842
-0.840	-0.988	26.827
-1.717	-0.022	26.842
-1.034	-1.112	26.829
-1.665	0.000	26.841
-1.367	-1.175	26.835
-1.737	-0.003	26.842
-1.336	-1.171	26.834
-1.672	0.003	26.841
-1.708	-1.130	26.841
-1.610	-0.013	26.840
-1.301	-1.187	26.833
-1.673	-0.016	26.841
-2.064	-1.001	26.848
-1.653	-0.026	26.840
-1.412	-1.200	26.835
-1.650	-0.024	26.840
-1.412	-1.199	26.835
-1.595	-0.028	26.839
-1.604	-1.169	26.839
-2.181	-0.039	26.851
-1.876	-1.215	26.845
-1.141	-0.496	26.823
-1.660	0.650	26.822
-1.382	-0.526	26.823
-1.763	0.643	26.822
-1.058	-0.434	26.824
-2.167	-0.552	26.843
-1.267	-0.030	26.834
-2.421	0.031	26.834
-1.249	-0.314	26.828
-2.196	-0.769	26.846
-3.245	-1.037	26.878
-4.396	-0.978	26.917
-5.520	-1.019	26.733
-4.497	-1.691	26.280
-3.623	-1.048	25.690
-2.817	-0.312	25.057
-2.561	0.871	24.491
-3.812	1.337	23.923
-4.955	1.928	23.329
-3.931	2.251	22.873
-2.893	2.552	22.462
-1.791	2.698	22.168
-2.443	1.872	21.806
-3.352	1.324	21.421
-4.227	0.724	20.988
-5.288	1.260	20.492
-4.391	1.807	20.007
-3.294	1.976	19.503
-2.161	2.245	18.996
-1.150	2.764	18.523
-0.443	3.610	18.113
-1.368	4.429	17.565
-0.616	3.448	17.277
-1.471	2.806	16.822
-2.208	2.028	16.398
-2.982	1.280	15.941
-3.816	0.595	15.419
-3.233	1.487	14.876
-2.088	1.454	14.362
-0.931	1.317	13.883
0.036	0.580	13.400
-1.003	0.208	12.855
-2.038	-0.013	12.284
-2.819	-0.705	11.695
-3.646	-1.428	11.103
-3.357	-0.370	10.459
-2.262	-0.138	9.824
-1.123	-0.099	9.248
-0.566	-1.146	8.755
-1.581	-1.601	8.378
-2.713	-1.715	7.967
-3.825	-1.485	7.435
-4.732	-0.762	6.771
-3.550	-1.064	5.981
-4.640	-1.371	5.259
-5.459	-0.576	4.492
-4.420	-0.178	3.643
-3.280	-0.164	2.832
-2.141	-0.138	2.129
-0.998	-0.214	1.533
-1.263	-1.328	0.973
-2.400	-1.229	0.406
-3.237	-2.023	-0.254
-3.071	-0.986	-1.056
-3.138	0.019	-1.849
-4.200	-0.119	-2.640
-5.233	-0.362	-3.490
-6.170	-0.913	-4.422
-7.155	-1.318	-5.470
-8.112	-1.056	-6.724
-6.924	-1.020	-7.996
-5.794	-0.895	-9.081
-4.664	-0.702	-9.979
-3.523	-0.573	-10.781
-2.407	-0.738	-11.607
-1.174	-0.552	-12.530
-0.533	0.521	-13.534
-0.151	-0.572	-14.607
0.641	-1.428	-15.712
1.740	-1.881	-16.816
2.961	-1.925	-17.850
4.168	-1.512	-18.778
4.163	-0.354	-19.580
3.363	0.278	-20.400
2.345	0.495	-21.295
3.571	0.536	-22.208
4.647	0.151	-23.147
4.476	-0.918	-24.074
3.413	-0.980	-24.965
3.041	-2.107	-25.864
3.674	-2.899	-26.781
4.454	-1.918	-27.627
3.974	-1.065	-28.330
3.485	-0.214	-29.020
2.357	-0.933	-29.708
3.322	-1.331	-30.495
4.497	-0.807	-31.333
5.670	-0.669	-32.182
6.708	-0.900	-33.003
7.310	-1.674	-33.668
6.181	-1.667	-34.234
5.244	-1.272	-34.808
4.284	-0.908	-35.400
3.198	-0.755	-36.038
2.048	-0.785	-36.780
0.850	-0.993	-37.643
1.423	-1.861	-38.663
2.486	-2.074	-39.757
3.525	-2.337	-40.819
4.696	-2.067	-41.834
4.363	-1.202	-42.723
3.995	-0.361	-43.625
3.501	0.400	-44.590
3.099	1.231	-45.647
2.739	2.100	-46.802
2.574	3.073	-48.052
2.497	4.103	-49.410
3.382	3.653	-50.735
4.181	3.142	-52.102
4.464	2.196	-53.479
4.153	0.996	-54.820
3.206	-0.249	-56.125
2.011	-1.430	-57.394
0.612	-2.503	-58.644
0.224	-1.667	-59.985
1.334	-0.837	-61.381
2.520	-0.315	-62.727
3.748	0.176	-64.010
4.893	0.375	-65.228
5.783	0.108	-66.404
6.154	-0.699	-67.544
6.753	-1.349	-68.631
7.331	-2.013	-69.610
7.196	-3.115	-70.426
6.167	-2.945	-71.098
5.177	-2.717	-71.793
4.267	-2.382	-72.558
3.474	-1.901	-73.412
4.450	-0.432	-74.385
5.784	-0.062	-75.335
7.071	0.188	-76.217
8.541	0.813	-76.991
8.324	1.915	-77.699
7.373	2.205	-78.399
6.288	2.260	-79.111
5.141	2.330	-79.860
3.947	2.341	-80.685
2.737	2.353	-81.631
1.469	2.281	-82.714
0.004	1.305	-83.895
1.465	2.021	-85.033
2.958	2.676	-86.220
4.376	3.184	-87.440
5.872	3.893	-88.620
7.435	4.799	-89.706
9.029	5.729	-90.693
10.730	6.874	-91.554
9.248	6.142	-92.870
7.829	5.634	-94.158
6.494	5.314	-95.502
4.961	4.677	-97.027
3.186	3.756	-98.949
4.429	4.951	-100.689
5.701	5.369	-102.467
6.780	5.387	-104.279
7.503	4.965	-106.034
7.893	4.165	-107.667
7.342	2.592	-109.273
5.464	1.456	-110.908
3.423	0.044	-112.519
1.058	-1.746	-114.096
-1.492	-3.843	-115.634
-4.147	-5.951	-117.073
-4.779	-7.633	-118.597
-3.278	-6.813	-120.278
-1.414	-5.431	-121.861
0.821	-3.340	-123.357
3.163	-1.200	-124.766
2.494	-2.746	-126.049
0.312	-5.233	-127.195
-2.308	-7.833	-128.227
-4.513	-9.052	-129.277
-6.724	-10.248	-130.301
-6.168	-8.738	-131.642
-4.146	-6.300	-133.034
-1.689	-3.469	-134.338
0.488	-0.672	-135.543
2.027	1.810	-136.705
3.079	4.083	-137.883
6.277	6.852	-138.940
3.796	4.121	-140.386
0.977	1.065	-141.794
0.540	-0.405	-143.156
4.299	2.922	-144.423
2.292	1.963	-145.722
-1.116	-0.698	-146.895
-5.102	-4.108	-147.881
-5.019	-2.912	-148.978
-0.722	1.377	-150.199
3.213	4.772	-151.353
4.410	5.054	-152.591
1.542	1.529	-153.944
-3.042	-3.450	-155.182
-8.830	-9.412	-156.147
-14.908	-15.927	-156.857
-10.487	-11.904	-158.382
-5.013	-6.668	-159.693
1.618	-0.266	-160.736
9.525	7.457	-161.418
18.283	16.586	-161.653
25.836	24.966	-161.621
20.494	20.294	-162.853
16.338	15.475	-163.824
11.996	10.372	-164.633
4.299	2.088	-165.339
1.024	0.002	-165.870
6.836	6.901	-166.354
14.754	14.011	-166.727
23.996	24.240	-166.875
34.564	35.686	-166.655
46.145	47.533	-165.858
46.233	46.723	-166.475
38.353	38.665	-167.784
25.931	26.059	-168.769
17.529	18.720	-169.229
0.365	2.417	-169.572
-22.495	-19.729	-169.614
-45.725	-42.319	-169.218
-62.013	-58.097	-168.377
-54.595	-51.128	-169.410
-42.980	-38.851	-170.041
-14.439	-11.055	-170.391
21.911	24.635	-170.439
23.817	25.616	-170.502
-44.165	-42.806	-170.499
-76.950	-74.974	-170.020
-81.759	-80.889	-170.023
-77.663	-76.967	-170.516
-87.510	-85.654	-170.469
-93.270	-90.237	-170.391
-97.397	-93.201	-170.277
-100.271	-94.944	-170.105
-101.785	-97.578	-169.896
-101.665	-96.460	-169.441
-105.067	-98.986	-170.073
-101.205	-95.011	-169.173
-100.018	-93.122	-168.212
-99.242	-92.855	-166.876
-100.199	-93.702	-168.345
-99.929	-92.338	-167.971
-99.348	-92.073	-166.497
-99.752	-93.406	-167.390
-99.401	-94.137	-166.845
-99.907	-95.691	-167.445
-100.726	-97.545	-168.049
-98.954	-95.598	-166.555
-100.337	-97.683	-167.760
-101.426	-97.729	-168.373
-99.619	-95.505	-167.035
-100.598	-97.441	-167.848
-103.038	-99.243	-168.950
-102.763	-100.126	-168.868
-102.873	-99.077	-168.897
-101.554	-96.751	-168.320
-100.430	-96.604	-167.557
-99.854	-94.967	-166.997
-100.900	-96.895	-167.936
-102.967	-98.221	-168.949
-102.017	-96.208	-168.515
-104.287	-99.238	-169.368
-102.408	-98.389	-168.799
-100.438	-97.203	-167.798
-102.627	-100.133	-168.800
-101.796	-98.188	-168.483
-101.634	-96.879	-168.403
-99.895	-95.544	-167.043
-99.658	-94.186	-166.742
-100.783	-95.985	-167.954
-99.854	-94.194	-166.985
-100.981	-96.043	-168.123
-103.059	-98.829	-169.088
-107.030	-103.556	-169.796
-104.808	-100.269	-169.474
-102.075	-96.824	-168.618
-100.234	-95.194	-167.234
-99.293	-93.715	-165.819
-99.283	-94.850	-165.798
-100.164	-94.967	-167.034
-101.804	-96.319	-168.441
-104.867	-99.776	-169.506
-110.177	-105.844	-170.074
-103.868	-100.287	-169.356
-101.039	-96.854	-168.362
-99.609	-94.788	-167.183
-99.606	-93.639	-167.180
-100.017	-95.125	-167.685
-98.861	-93.898	-166.108
-99.137	-95.280	-166.532
-99.963	-97.074	-167.351
-100.163	-96.128	-167.511
-100.519	-97.613	-167.776
-100.308	-96.259	-167.621
-99.919	-97.000	-167.312
-99.075	-97.184	-166.584
-97.696	-95.684	-164.901
-98.491	-95.617	-166.061
-98.306	-96.574	-165.831
-97.514	-94.953	-164.739
-97.939	-96.473	-165.487
-97.279	-97.024	-165.547
-95.873	-96.721	-164.813
-94.638	-96.666	-164.360
-94.557	-97.364	-165.779
-93.612	-95.589	-166.762
-92.505	-94.370	-168.237
-89.132	-92.221	-168.603
-83.718	-87.386	-169.632
-77.714	-80.385	-169.388
-67.359	-69.081	-169.802
-37.127	-38.410	-170.332
-47.867	-50.208	-169.944
-41.536	-45.038	-169.847
-8.794	-11.909	-170.075
5.185	0.990	-169.878
-14.386	-17.997	-169.489
-31.272	-35.185	-168.589
-38.219	-41.525	-167.539
-23.572	-26.487	-167.923
-7.723	-11.210	-167.933
6.050	2.968	-167.533
1.105	-1.071	-166.969
-6.792	-8.204	-166.222
-12.356	-12.901	-165.363
-20.697	-21.673	-164.232
-13.282	-15.133	-164.043
-10.927	-13.961	-163.499
-12.933	-17.179	-162.661
-14.647	-17.914	-161.757
-7.584	-10.554	-161.355
0.139	-3.109	-160.661
7.399	3.875	-159.625
3.076	-1.372	-158.623
4.022	-1.713	-157.581
1.860	-5.026	-156.275
0.902	-5.094	-154.891
0.668	-4.407	-153.501
0.765	-3.370	-152.124
-0.087	-3.269	-150.724
-2.196	-4.529	-149.330
-3.855	-7.159	-147.952
-6.748	-10.587	-146.373
-7.136	-9.919	-144.936
-6.139	-7.873	-143.624
-6.696	-7.269	-142.240
-5.301	-6.991	-141.070
-1.541	-3.317	-140.041
-3.948	-6.239	-138.676
-2.666	-6.080	-137.531
-4.614	-8.737	-136.049
-2.098	-5.699	-134.940
-2.706	-5.147	-133.534
-3.720	-5.015	-132.100
-4.817	-4.977	-130.646
-7.109	-6.693	-129.043
-5.907	-4.459	-127.743
-3.023	-1.677	-126.573
-0.345	0.532	-125.397
1.738	1.769	-124.217
2.825	1.639	-123.032
3.989	1.556	-121.770
5.172	3.451	-120.412
3.133	1.889	-119.101
1.197	0.377	-117.639
-0.422	-0.352	-116.306
-1.206	0.061	-115.162
-0.725	1.583	-114.132
0.245	1.388	-113.107
1.563	1.611	-112.035
2.893	1.851	-110.863
3.801	1.593	-109.556
2.492	1.345	-108.234
0.870	0.456	-106.929
-0.729	-0.425	-105.673
-2.413	-1.534	-104.508
-3.133	-3.131	-103.442
-2.295	-3.483	-102.515
-1.239	-3.588	-101.589
0.073	-3.352	-100.636
1.605	-2.751	-99.659
3.091	-2.358	-98.638
1.976	-4.211	-97.452
1.917	-3.291	-96.318
1.112	-3.076	-95.092
0.541	-2.607	-93.862
0.089	-2.012	-92.645
-0.343	-1.371	-91.462
-0.583	-0.517	-90.328
0.359	1.079	-89.233
1.763	1.522	-88.131
2.835	1.424	-87.059
3.332	0.596	-86.040
3.275	-0.679	-85.048
2.615	-2.229	-84.035
1.812	-3.971	-82.966
0.347	-5.425	-81.744
-0.248	-5.015	-80.575
-0.334	-4.149	-79.443
-0.211	-3.110	-78.337
0.526	-1.784	-77.300
1.968	-0.583	-76.294
3.352	-0.035	-75.297
4.363	-0.223	-74.315
5.145	-0.765	-73.309
5.518	-1.689	-72.214
4.909	-3.067	-70.961
3.620	-3.925	-69.541
2.478	-4.053	-68.109
1.556	-3.733	-66.770
1.493	-2.642	-65.625
2.771	-2.319	-64.660
3.975	-2.175	-63.715
5.081	-2.340	-62.733
6.002	-2.803	-61.692
